db_user,date,graph_frame,is_anomaly,attack_phase,is_attacker
normal_user_1,2025-05-01,G1,0,normal,1
normal_user_1,2025-05-01,G2,0,normal,1
normal_user_1,2025-05-01,G3,0,normal,1
normal_user_1,2025-05-01,G4,0,normal,1
normal_user_1,2025-05-01,G5,0,normal,1
normal_user_1,2025-05-02,G1,0,normal,1
normal_user_1,2025-05-02,G2,0,normal,1
normal_user_1,2025-05-02,G3,0,normal,1
normal_user_1,2025-05-02,G4,0,normal,1
normal_user_1,2025-05-02,G5,0,normal,1
normal_user_1,2025-05-03,G1,0,normal,1
normal_user_1,2025-05-03,G2,0,normal,1
normal_user_1,2025-05-03,G3,0,normal,1
normal_user_1,2025-05-03,G4,0,normal,1
normal_user_1,2025-05-03,G5,0,normal,1
normal_user_1,2025-05-04,G1,0,normal,1
normal_user_1,2025-05-04,G2,0,normal,1
normal_user_1,2025-05-04,G3,0,normal,1
normal_user_1,2025-05-04,G4,0,normal,1
normal_user_1,2025-05-04,G5,0,normal,1
normal_user_1,2025-05-05,G1,0,normal,1
normal_user_1,2025-05-05,G2,0,normal,1
normal_user_1,2025-05-05,G3,0,normal,1
normal_user_1,2025-05-05,G4,0,normal,1
normal_user_1,2025-05-05,G5,0,normal,1
normal_user_1,2025-05-06,G1,0,normal,1
normal_user_1,2025-05-06,G2,0,normal,1
normal_user_1,2025-05-06,G3,0,normal,1
normal_user_1,2025-05-06,G4,0,normal,1
normal_user_1,2025-05-06,G5,0,normal,1
normal_user_1,2025-05-07,G1,0,normal,1
normal_user_1,2025-05-07,G2,0,normal,1
normal_user_1,2025-05-07,G3,0,normal,1
normal_user_1,2025-05-07,G4,0,normal,1
normal_user_1,2025-05-07,G5,0,normal,1
normal_user_1,2025-05-08,G1,0,normal,1
normal_user_1,2025-05-08,G2,0,normal,1
normal_user_1,2025-05-08,G3,0,normal,1
normal_user_1,2025-05-08,G4,0,normal,1
normal_user_1,2025-05-08,G5,0,normal,1
normal_user_1,2025-05-09,G1,0,normal,1
normal_user_1,2025-05-09,G2,0,normal,1
normal_user_1,2025-05-09,G3,0,normal,1
normal_user_1,2025-05-09,G4,0,normal,1
normal_user_1,2025-05-09,G5,0,normal,1
normal_user_1,2025-05-10,G1,0,normal,1
normal_user_1,2025-05-10,G2,0,normal,1
normal_user_1,2025-05-10,G3,0,normal,1
normal_user_1,2025-05-10,G4,0,normal,1
normal_user_1,2025-05-10,G5,0,normal,1
normal_user_1,2025-05-11,G1,0,normal,1
normal_user_1,2025-05-11,G2,0,normal,1
normal_user_1,2025-05-11,G3,0,normal,1
normal_user_1,2025-05-11,G4,0,normal,1
normal_user_1,2025-05-11,G5,0,normal,1
normal_user_1,2025-05-12,G1,0,normal,1
normal_user_1,2025-05-12,G2,0,normal,1
normal_user_1,2025-05-12,G3,0,normal,1
normal_user_1,2025-05-12,G4,0,normal,1
normal_user_1,2025-05-12,G5,0,normal,1
normal_user_1,2025-05-13,G1,0,normal,1
normal_user_1,2025-05-13,G2,0,normal,1
normal_user_1,2025-05-13,G3,0,normal,1
normal_user_1,2025-05-13,G4,0,normal,1
normal_user_1,2025-05-13,G5,0,normal,1
normal_user_1,2025-05-14,G1,0,normal,1
normal_user_1,2025-05-14,G2,0,normal,1
normal_user_1,2025-05-14,G3,0,normal,1
normal_user_1,2025-05-14,G4,0,normal,1
normal_user_1,2025-05-14,G5,0,normal,1
normal_user_1,2025-05-15,G1,0,normal,1
normal_user_1,2025-05-15,G2,0,normal,1
normal_user_1,2025-05-15,G3,0,normal,1
normal_user_1,2025-05-15,G4,0,normal,1
normal_user_1,2025-05-15,G5,0,normal,1
normal_user_1,2025-05-16,G1,0,normal,1
