db_user,department,clearance_level,role,is_privileged,role_index,department_index,baseline_hour_1,baseline_hour_2
normal_user_1,sales,1,staff,0,1,1,9.96520298260149,14.845226130653263
normal_user_2,sales,1,staff,0,1,1,9.998360655737713,14.821792260692472
normal_user_3,sales,1,staff,0,1,1,9.994205298013249,14.902414486921531
normal_user_4,sales,1,staff,0,1,1,9.996747967479681,14.937242798353916
normal_user_5,sales,1,staff,0,1,1,10.001640689089417,14.903357070193286
normal_user_6,sales,1,staff,0,1,1,10.001640689089415,14.862665310274668
normal_user_7,sales,1,staff,0,1,1,10.004091653027825,14.89591836734694
normal_user_8,sales,1,staff,0,1,1,9.990299110751826,14.948186528497414
normal_user_9,sales,1,staff,0,1,1,9.983009708737862,14.873706004140786
normal_user_10,sales,1,staff,0,1,1,10.014717906786586,14.94484167517875
normal_user_11,sales,1,staff,0,1,1,9.997545008183305,14.878571428571426
normal_user_12,sales,1,staff,0,1,1,9.980165289256202,14.802419354838714
normal_user_13,sales,1,staff,0,1,1,9.962418300653598,14.895705521472394
normal_user_14,sales,1,staff,0,1,1,9.986991869918704,14.870370370370377
normal_user_15,sales,1,staff,0,1,1,9.989490703314475,14.906735751295342
normal_user_16,sales,1,staff,0,1,1,10.0168404170008,14.951832460732984
normal_user_17,sales,1,staff,0,1,1,9.992604765817578,14.878172588832483
normal_user_18,sales,1,staff,0,1,1,9.938127090301002,14.854870775347912
normal_user_19,sales,1,staff,0,1,1,10.015510204081629,14.801432958034798
dev_user_1,it_engineering,2,developer,0,2,2,9.490740740740735,14.301626016260158
dev_user_2,it_engineering,2,developer,0,2,2,9.971947194719473,14.85858585858586
dev_user_3,it_engineering,2,developer,0,2,2,9.995884773662548,14.824721377912864
hr_specialist_1,human_resources,3,hr_specialist,0,3,3,10.043194784026081,14.913846153846155
hr_specialist_2,human_resources,3,hr_specialist,0,3,3,9.997562956945576,14.886714727085481
postgres,infrastructure,4,admin,1,4,4,10.012886597938147,16.6965811965812
