db_user,department,clearance_level,role,is_privileged,role_index,department_index,baseline_hour_1,baseline_hour_2
normal_user_1,sales,1,staff,0,1,1,9.97532894736842,14.876123876123877
normal_user_2,sales,1,staff,0,1,1,10.013082583810304,14.87323943661972
normal_user_3,sales,1,staff,0,1,1,10.004061738424044,14.847870182555779
normal_user_4,sales,1,staff,0,1,1,10.040650406504072,14.841945288753806
normal_user_5,sales,1,staff,0,1,1,10.025000000000004,14.856704196519964
normal_user_6,sales,1,staff,0,1,1,9.456249999999997,14.268894192521875
normal_user_7,sales,1,staff,0,1,1,10.012965964343605,14.834181078331646
normal_user_8,sales,1,staff,0,1,1,10.01222493887531,14.889898989898994
normal_user_9,sales,1,staff,0,1,1,10.008038585208999,14.872559095580673
normal_user_10,sales,1,staff,0,1,1,9.986178861788616,14.899696048632217
normal_user_11,sales,1,staff,0,1,1,10.04112903225806,14.860798362333671
normal_user_12,sales,1,staff,0,1,1,9.982968369829678,14.857723577235765
normal_user_13,sales,1,staff,0,1,1,10.006467259498791,14.888775510204086
normal_user_14,sales,1,staff,0,1,1,9.506572295247718,14.324104234527681
normal_user_15,sales,1,staff,0,1,1,9.991200000000001,14.840744570837643
normal_user_16,sales,1,staff,0,1,1,9.558325024925223,14.356672158154858
normal_user_17,sales,1,staff,0,1,1,9.960194963444355,14.863083164300203
normal_user_18,sales,1,staff,0,1,1,9.501028806584358,14.28032128514056
normal_user_19,sales,1,staff,0,1,1,10.026634382566579,14.894683026584861
dev_user_1,it_engineering,2,developer,0,2,2,10.021001615508888,14.90806945863126
dev_user_2,it_engineering,2,developer,0,2,2,10.009724473257704,14.898270600203464
dev_user_3,it_engineering,2,developer,0,2,2,9.5060606060606,14.328443357783204
hr_specialist_1,human_resources,3,hr_specialist,0,3,3,10.05322580645161,14.878198567041965
hr_specialist_2,human_resources,3,hr_specialist,0,3,3,9.97964169381107,14.89079878665318
postgres,infrastructure,4,admin,1,4,4,8.642131979695428,15.819787985865721
