event_id,timestamp,db_user,sql_statement,tables_involved,status,rows_affected,graph_frame,is_after_hours,scenario_type
EVT_0000001,2026-06-30 08:14:08,normal_user_1,"SELECT pa_key, pa_comment FROM public.part ORDER BY pa_key DESC LIMIT 37;",part,SUCCESS,5657,G1,0,Normal
EVT_0000002,2026-06-30 08:28:37,normal_user_1,SELECT * FROM public.supplier WHERE su_key > 320;,supplier,SUCCESS,239,G1,0,Normal_Admin_Maintenance
EVT_0000003,2026-06-30 09:38:16,normal_user_1,SELECT COUNT(*) FROM public.part;,part,SUCCESS,3539,G1,0,Normal
EVT_0000004,2026-06-30 10:14:49,normal_user_1,SELECT * FROM public.customer ORDER BY 1 LIMIT 16;,customer,SUCCESS,7749,G1,0,Normal_Admin_Maintenance
EVT_0000005,2026-06-30 10:40:10,normal_user_1,SELECT * FROM public.orders WHERE or_key < 4147;,orders,SUCCESS,61347,G1,0,Normal_Admin
EVT_0000006,2026-06-30 09:04:13,normal_user_1,"SELECT or_key, or_comment FROM public.orders ORDER BY or_key DESC LIMIT 40;",orders,SUCCESS,96622,G1,0,Normal_Admin_Maintenance
EVT_0000007,2026-06-30 10:25:23,normal_user_1,SELECT * FROM public.orders WHERE or_key < 1655;,orders,SUCCESS,70432,G1,0,Normal_Admin
EVT_0000008,2026-06-30 10:29:33,normal_user_1,"SELECT COUNT(*), AVG(na_key) FROM public.nation WHERE na_key > 0;",nation,SUCCESS,2,G1,0,Normal_Admin_Maintenance
EVT_0000009,2026-06-30 08:32:58,normal_user_1,SELECT * FROM public.supplier WHERE su_key = 2445;,supplier,SUCCESS,640,G1,0,Normal
EVT_0000010,2026-06-30 08:59:23,normal_user_1,"SELECT COUNT(*), MAX(or_key) FROM public.orders WHERE or_key > 0;",orders,SUCCESS,82296,G1,0,Normal_Admin_Maintenance
EVT_0000011,2026-06-30 09:33:55,normal_user_1,SELECT * FROM public.orders ORDER BY 1 LIMIT 22;,orders,SUCCESS,49451,G1,0,Daily-Report
EVT_0000012,2026-06-30 09:01:37,normal_user_1,"SELECT c.c_name, o.o_totalprice FROM public.customer c JOIN public.orders o ON c.c_custkey = o.o_custkey LIMIT 17;",nation,SUCCESS,2,G1,0,Normal_Admin
EVT_0000013,2026-06-30 10:08:46,normal_user_1,SELECT COUNT(*) FROM public.orders;,orders,SUCCESS,32899,G1,0,Daily-Report
EVT_0000014,2026-06-30 09:46:21,normal_user_2,SELECT * FROM public.orders WHERE 1=1 LIMIT 20;,orders,SUCCESS,92132,G1,0,Normal
EVT_0000015,2026-06-30 08:41:34,normal_user_2,SELECT * FROM public.customer WHERE cu_key BETWEEN 1 AND 100;,customer,SUCCESS,9590,G1,0,Normal
EVT_0000016,2026-06-30 09:27:44,normal_user_2,"SELECT COUNT(*), AVG(or_key) FROM public.orders WHERE or_key > 0;",orders,SUCCESS,82493,G1,0,Daily-Report
EVT_0000017,2026-06-30 10:10:03,normal_user_2,SELECT * FROM public.supplier ORDER BY 1 LIMIT 14;,supplier,SUCCESS,180,G1,0,Normal
EVT_0000018,2026-06-30 09:42:37,normal_user_2,SELECT * FROM public.lineitem WHERE 1=1 LIMIT 20;,lineitem,SUCCESS,212585,G1,0,Normal_Admin_Maintenance
EVT_0000019,2026-06-30 08:34:13,normal_user_2,SELECT * FROM public.orders WHERE or_key = 2860;,orders,SUCCESS,89329,G1,0,Normal_Admin_Maintenance
EVT_0000020,2026-06-30 10:52:35,normal_user_2,"SELECT c.c_name, o.o_totalprice FROM public.customer c JOIN public.orders o ON c.c_custkey = o.o_custkey LIMIT 38;",part,SUCCESS,8017,G1,0,Normal_Admin_Maintenance
EVT_0000021,2026-06-30 10:40:54,normal_user_2,"SELECT COUNT(*), MAX(na_key) FROM public.nation WHERE na_key > 0;",nation,SUCCESS,2,G1,0,Normal_Admin_Maintenance
EVT_0000022,2026-06-30 10:28:35,normal_user_2,SELECT * FROM public.nation WHERE na_key > 696;,nation,SUCCESS,2,G1,0,Daily-Report
EVT_0000023,2026-06-30 08:57:22,normal_user_2,"SELECT pa_key, pa_comment FROM public.part ORDER BY pa_key DESC LIMIT 14;",part,SUCCESS,5300,G1,0,Normal_Admin
EVT_0000024,2026-06-30 08:11:47,normal_user_2,SELECT * FROM public.supplier WHERE su_key > 491;,supplier,SUCCESS,611,G1,0,Normal_Admin_Maintenance
