event_id,is_anomaly
EVT_0000001,0
EVT_0000002,0
EVT_0000003,0
EVT_0000004,0
EVT_0000005,0
EVT_0000006,0
EVT_0000007,0
EVT_0000008,0
EVT_0000009,0
EVT_0000010,0
EVT_0000011,0
EVT_0000012,0
EVT_0000013,0
EVT_0000014,0
EVT_0000015,0
EVT_0000016,0
EVT_0000017,0
EVT_0000018,0
EVT_0000019,0
EVT_0000020,0
EVT_0000021,0
EVT_0000022,0
EVT_0000023,0
EVT_0000024,0
EVT_0000025,0
EVT_0000026,0
EVT_0000027,0
EVT_0000028,0
EVT_0000029,0
EVT_0000030,0
EVT_0000031,0
EVT_0000032,0
EVT_0000033,0
EVT_0000034,0
EVT_0000035,0
EVT_0000036,0
EVT_0000037,0
EVT_0000038,0
EVT_0000039,0
EVT_0000040,0
EVT_0000041,0
EVT_0000042,0
EVT_0000043,0
EVT_0000044,0
EVT_0000045,0
EVT_0000046,0
EVT_0000047,0
EVT_0000048,0
EVT_0000049,0
EVT_0000050,0
EVT_0000051,0
EVT_0000052,0
EVT_0000053,0
EVT_0000054,0
EVT_0000055,0
EVT_0000056,0
EVT_0000057,0
EVT_0000058,0
EVT_0000059,0
EVT_0000060,0
EVT_0000061,0
EVT_0000062,0
EVT_0000063,0
EVT_0000064,0
EVT_0000065,0
EVT_0000066,0
EVT_0000067,0
EVT_0000068,0
EVT_0000069,0
EVT_0000070,0
EVT_0000071,0
EVT_0000072,0
EVT_0000073,0
EVT_0000074,0
EVT_0000075,0
EVT_0000076,0
EVT_0000077,0
EVT_0000078,0
EVT_0000079,0
EVT_0000080,0
EVT_0000081,0
EVT_0000082,0
EVT_0000083,0
EVT_0000084,0
EVT_0000085,0
EVT_0000086,0
EVT_0000087,0
EVT_0000088,0
EVT_0000089,0
EVT_0000090,0
EVT_0000091,0
EVT_0000092,0
EVT_0000093,0
EVT_0000094,0
EVT_0000095,0
EVT_0000096,0
EVT_0000097,0
EVT_0000098,0
EVT_0000099,0
EVT_0000100,0
EVT_0000101,0
EVT_0000102,0
EVT_0000103,0
EVT_0000104,0
EVT_0000105,0
EVT_0000106,0
EVT_0000107,0
EVT_0000108,0
EVT_0000109,0
EVT_0000110,0
EVT_0000111,0
EVT_0000112,0
EVT_0000113,0
EVT_0000114,0
EVT_0000115,0
EVT_0000116,0
EVT_0000117,0
EVT_0000118,0
EVT_0000119,0
EVT_0000120,0
EVT_0000121,0
EVT_0000122,0
EVT_0000123,0
EVT_0000124,0
EVT_0000125,0
EVT_0000126,0
EVT_0000127,0
EVT_0000128,0
EVT_0000129,0
EVT_0000130,0
EVT_0000131,0
EVT_0000132,0
EVT_0000133,0
EVT_0000134,0
EVT_0000135,0
EVT_0000136,0
EVT_0000137,0
EVT_0000138,0
EVT_0000139,0
EVT_0000140,0
EVT_0000141,0
EVT_0000142,0
EVT_0000143,0
EVT_0000144,0
EVT_0000145,0
EVT_0000146,0
EVT_0000147,0
EVT_0000148,0
EVT_0000149,0
EVT_0000150,0
EVT_0000151,0
EVT_0000152,0
EVT_0000153,0
EVT_0000154,0
EVT_0000155,0
EVT_0000156,0
EVT_0000157,0
EVT_0000158,0
EVT_0000159,0
EVT_0000160,0
EVT_0000161,0
